"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
01/17/2018,22:00,176.15,179.25,175.07,179.10,34386836,0,176.39,174.00,86.80,85.81,80.00,20.00
01/18/2018,22:00,179.37,180.10,178.25,179.26,31193352,0,177.38,174.14,86.13,85.39,80.00,20.00
01/19/2018,22:00,178.61,179.58,177.41,178.46,32425067,0,178.02,174.34,91.32,88.08,80.00,20.00
01/22/2018,22:00,177.30,177.78,176.60,177.00,27108551,0,178.00,174.47,82.88,86.78,80.00,20.00
01/23/2018,22:00,177.30,179.44,176.82,177.04,32689146,0,178.17,174.57,73.88,82.70,80.00,20.00
01/24/2018,22:00,177.25,177.30,173.20,174.22,51105090,0,177.20,174.53,55.41,70.72,80.00,20.00
01/25/2018,22:00,174.51,174.95,170.53,171.11,41529004,0,175.57,174.56,30.31,53.20,80.00,20.00
01/26/2018,22:00,172.00,172.00,170.06,171.51,39143011,0,174.18,174.60,15.09,33.60,80.00,20.00
01/29/2018,22:00,169.92,170.16,167.07,167.96,50640406,0,172.37,174.45,8.95,18.12,80.00,20.00
01/30/2018,22:00,165.53,167.37,164.70,166.97,46048185,0,170.35,174.33,11.98,12.01,80.00,20.00
01/31/2018,22:00,166.87,168.44,166.50,167.43,32478930,0,169.00,174.09,13.44,11.46,80.00,20.00
02/01/2018,22:00,167.17,168.62,166.76,167.78,47230787,0,168.33,173.87,17.49,14.30,80.00,20.00
02/02/2018,22:00,166.50,166.80,160.10,160.50,86593825,0,166.13,173.24,12.22,14.38,80.00,20.00
02/05/2018,22:00,159.10,163.88,156.00,156.49,72738522,0,163.83,172.32,6.67,12.13,80.00,20.00
02/06/2018,22:00,154.83,163.72,154.00,163.03,68243838,0,163.05,171.75,14.13,11.01,80.00,20.00
02/07/2018,22:00,163.09,163.40,159.07,159.54,51608580,0,161.47,171.01,19.87,13.56,80.00,20.00
02/08/2018,22:00,160.29,161.00,155.03,155.15,54390516,0,158.94,170.06,20.38,18.13,80.00,20.00
02/09/2018,22:00,156.56,157.89,150.24,156.41,70672608,0,158.12,169.11,16.03,18.76,80.00,20.00
02/12/2018,22:00,158.50,163.89,157.51,162.71,60819539,0,159.37,168.39,24.22,20.21,80.00,20.00
02/13/2018,22:00,161.95,164.75,161.65,164.34,32549163,0,159.63,167.80,40.43,26.90,80.00,20.00
02/14/2018,22:00,163.05,167.54,162.88,167.37,40644933,0,161.20,167.21,59.43,41.36,80.00,20.00
02/15/2018,22:00,169.79,173.09,169.00,172.99,51147171,0,164.76,166.90,77.87,59.25,80.00,20.00
02/16/2018,22:00,172.36,174.82,171.77,172.43,40176091,0,167.97,166.60,89.71,75.67,80.00,20.00
02/20/2018,22:00,172.05,174.26,171.42,171.85,33930540,0,169.80,166.34,92.42,86.67,80.00,20.00
02/21/2018,22:00,172.83,174.12,171.01,171.07,37471623,0,171.14,166.04,87.65,89.92,80.00,20.00
02/22/2018,22:00,171.80,173.95,171.71,172.50,30991940,0,172.17,165.96,87.74,89.27,80.00,20.00
02/23/2018,22:00,173.67,175.65,173.54,175.50,33812360,0,172.67,166.18,91.66,89.02,80.00,20.00
02/26/2018,22:00,176.35,179.39,176.21,178.97,38162174,0,173.98,166.55,96.35,91.92,80.00,20.00
02/27/2018,22:00,179.10,180.48,178.16,178.39,38928125,0,175.29,167.07,96.86,94.96,80.00,20.00
02/28/2018,22:00,179.26,180.62,178.05,178.12,37782138,0,176.70,167.63,94.42,95.88,80.00,20.00
